,alloy_name,phases,VHN,R_delta,S_config,VEC,R_cov_delta,density_avg,Tm_avg,E_avg,E_delta,G_avg,G_delta,K_avg,K_delta,Compress_avg,Compress_delta,EN_Allen_avg,H_avg,Vm_delta,E_coh_avg,E_coh_delta,Senkov_param,H_chem,H_el
80,HfMo0.25NbTaTiZr,BCC,395,0.357642939,0.63785802,0.232804233,0.17171183,0.655067577,0.666005535,0.331484488,0.696727901,0.35147368,0.699099418,0.439957419,0.610534658,0.142564561,0.31261281,0.077141189,0.670458572,0.315428978,0.750490087,0.412639124,0.04625166,0.866575716,0.267820069
81,Al1.8CoCrCuFeNi,FCC + BCC,650,0.413681984,0.67567289,0.620098039,0.105156069,0.376337176,0.126279093,0.450819469,0.580697137,0.459661567,0.608402175,0.480448235,0.5277141,0.136818465,0.449075016,0.8189966,0.252374587,0.455320633,0.18581982,0.266540267,0.003551541,0.573533424,0.283737024
82,Ti0.5NbMoTaW,BCC,481.2,0.163974072,0.491911778,0.351851852,0.083838027,0.906703135,0.926786812,0.909687149,0.782769799,0.90687598,0.75372814,0.916257549,0.499669268,0.02191909,0.370351729,0.232535513,0.220971021,0.107347404,0.930577268,0.389115132,0.012336395,0.665757162,0.089965398
83,Al0.75CoFeNi,FCC + BCC,385,0.390921525,0.286165981,0.694444444,0.0461567,0.424437991,0.155695014,0.615284792,0.456411938,0.580897209,0.489126947,0.549503993,0.435097088,0.107259706,0.462707668,0.891418564,0.295059991,0.450254963,0.234288692,0.218208208,0.001676963,0.497680764,0.275432526
84,AlCoCrFeNb0.5Ni,BCC + Im,747,0.430771025,0.682228004,0.583333333,0.594334842,0.411100355,0.253026555,0.513554102,0.517835217,0.552476435,0.47093288,0.562888271,0.411494873,0.100875436,0.457015539,0.769781882,0.302981555,0.515197678,0.288407788,0.610773835,0.00179553,0.375989086,0.423529412
85,Al0.4Hf0.6NbTaTiZr,BCC,500,0.330354372,0.658043136,0.211111111,0.448504326,0.575392984,0.588011756,0.250189394,0.541082483,0.276457652,0.563650493,0.387112106,0.583019879,0.165507381,0.323181781,0.127845884,0.601375427,0.307727339,0.697863471,0.572533275,0.009849481,0.654843111,0.202768166
86,AlCoCrFe1.5Mo0.5Ni,BCC + Im,635,0.377874897,0.662238781,0.606481481,0.381743956,0.428540697,0.260953176,0.633224607,0.545740977,0.639051297,0.541548684,0.612727624,0.474524378,0.090295489,0.477450088,0.789550496,0.307929486,0.426238927,0.272711482,0.474275465,0.003539027,0.53478854,0.338408304
87,CoCrFeNi,FCC,114.5,0,0.293304947,0.756944444,0.195145476,0.500069147,0.302361347,0.67645202,0.195981461,0.693584723,0.045916156,0.682085717,0,0.040381791,0,0.888791594,0.45063342,0.029338565,0.261073476,0.0411394,0.010211165,0.722510232,0.010380623
88,TiNbMoTaW,BCC,507.5,0.173140198,0.520809939,0.333333333,0.079339607,0.832065643,0.868216262,0.837436869,0.83964619,0.832376763,0.827720261,0.849263588,0.582383362,0.039454363,0.408147541,0.22591944,0.397747838,0.099987794,0.875039083,0.478556386,0.013721832,0.682946794,0.080968858
89,Al0.5BCoCrCuFeNi,,736,1,0.842663389,0.647435897,0.973179977,0.388902482,0.260132445,0.557959402,0.368735688,0.421931927,0.856443557,0.589601175,0.276847628,0.077360039,0.335313641,0.949077193,0.853810577,0.471109552,0.268729707,0.414986527,0.003571113,0.507776262,0.214532872
90,Hf0.5Mo0.5NbSi0.5TiZr,BCC + Im,524,0.644306658,0.648955123,0.228395062,0.723346435,0.410690597,0.536779407,0.309939675,0.929010741,0.406241246,0.891263683,0.400815472,0.733670864,0.16356665,0.293836803,0.234481417,0.850682575,0.422044456,0.643390655,0.43478705,0.002159769,0.313233288,0.41384083
91,Cu26.6Mn26.6Ni26.6Zn20,FCC,109,0.288918328,0.286283027,0.981629927,0.141847604,0.494521704,0.027553971,0.511106599,0.446237051,0.485504829,0.514670398,0.295280439,0.800512507,0.262736231,0.46504481,0.86556651,0.049532776,0.286837274,0.023434049,0.881444857,0.005762323,0.704502046,0.162629758
92,CrNbTiZr,BCC + Im,418,0.606075147,0.293304947,0.270833333,0.593261996,0.361084221,0.507916806,0.201651936,0.375160402,0.309392265,0.630722348,0.423581751,0.515818294,0.145103949,0.318023849,0.27145359,0.756686105,0.606930168,0.550807712,0.59802974,0.009208917,0.690313779,0.716262976
93,AlCrFeNiMo0.5Ti0.4,BCC + Im,731.9,0.454004449,0.648585329,0.506802721,0.525977713,0.375294579,0.269693509,0.565328025,0.676708469,0.577726279,0.678574395,0.56200751,0.590324486,0.114189659,0.478436337,0.689981772,0.386618351,0.479752236,0.281396561,0.529713782,0.00187178,0.387175989,0.451211073
94,CoCrFeMnNiV0.5,FCC,186,0.214785887,0.682228004,0.684343434,0.38162833,0.466669181,0.282884032,0.644886364,0.224766693,0.662559186,0.18937631,0.546057441,0.47673941,0.122691089,0.584821656,0.833466009,0.314360821,0.121586461,0.227770145,0.389769255,0.007385654,0.655934516,0.051211073
95,Al0.5CoCrCuFeNiV1.0,FCC + BCC + Im,639,0.266768135,0.842663389,0.69017094,0.45883053,0.440815719,0.246170266,0.516681235,0.416117062,0.518070301,0.445254816,0.575912358,0.278978536,0.08068927,0.326436507,0.808972114,0.3254188,0.300885766,0.252695715,0.327452839,0.008845449,0.672851296,0.147404844
96,Al0.375CoCrFeNi,FCC,163.5,0.269802127,0.470382902,0.694444444,0.178669772,0.456645001,0.258648895,0.620174964,0.34714527,0.637090904,0.308979116,0.629149347,0.258095697,0.068204653,0.370558652,0.861396047,0.404389417,0.300785765,0.244770342,0.142362896,0.004388573,0.604365621,0.130103806
97,Cu30Mn30Ni30Al10,FCC + Im,241,0.292435739,0.21942835,0.819444444,0.152195398,0.465311391,0.086599034,0.546085859,0.427329734,0.522474924,0.481169414,0.339716488,0.713930634,0.225056032,0.476006057,0.910683012,0.036069174,0.309390242,0.113392392,0.414151969,0.003797635,0.654570259,0.134948097
98,AlCoCrFeMo0.5Ni2,FCC + BCC + Im,395,0.364125753,0.625218757,0.658119658,0.402540962,0.446347457,0.254659605,0.650309182,0.519998987,0.642885141,0.517279325,0.626458954,0.447186348,0.084583281,0.473777082,0.819749427,0.308651333,0.435231336,0.276586363,0.452002992,0.0030093,0.508867667,0.344636678
99,CoCrCuFeNiTiVZr,,680,0.642799253,1,0.600694444,0.920418052,0.421818098,0.310758824,0.442997685,0.513175224,0.438294534,0.578067526,0.51041753,0.378063139,0.104094211,0.301938128,0.650175131,0.581439775,0.796946811,0.331162064,0.421482586,0.002790948,0.39781719,0.76816609
100,Al1.5CoCrCuFe,FCC + BCC,510,0.41557149,0.505240243,0.583333333,0.073399787,0.36290718,0.126680162,0.409387435,0.570279677,0.436542109,0.619702035,0.464415355,0.535849518,0.142398949,0.439114693,0.792071326,0.263861214,0.436673927,0.173196267,0.256010153,0.005333933,0.657298772,0.259515571
101,AlCrCuFeNi0.8,FCC + BCC,486,0.381540951,0.517107559,0.652777778,0.100309886,0.393736843,0.152909078,0.450889099,0.539776959,0.470198824,0.565312795,0.490314737,0.460694361,0.12486475,0.420368093,0.819468768,0.231919029,0.405976169,0.181170749,0.25106088,0.007905709,0.698772169,0.220069204
102,Al0.5CoCrCuFeNiV1.6,BCC,594,0.261268841,0.820101321,0.657668232,0.528480716,0.428721409,0.265212761,0.499951095,0.416920916,0.49850905,0.454293815,0.574586706,0.263450132,0.079666888,0.311590825,0.776867862,0.321878992,0.296233236,0.271150614,0.349874964,0.0070927,0.640109141,0.151557093
103,CrMo0.5NbTa0.5TiZr,BCC + Im,540,0.553930685,0.66214895,0.291666667,0.528597422,0.483012953,0.599486125,0.362373737,0.835358118,0.43155608,0.811880709,0.533090166,0.608557855,0.115503517,0.381904192,0.259194396,0.598511965,0.550023044,0.624491923,0.598185854,0.013593952,0.695770805,0.638062284
104,AlCo1.5CrFeMo0.5Ni,BCC + Im,741,0.374828152,0.662238781,0.618055556,0.400882817,0.436146837,0.259005856,0.630155724,0.546028997,0.635587084,0.541996136,0.623366216,0.471246534,0.087976917,0.485784483,0.795388208,0.337086936,0.43598444,0.274622199,0.472996917,0.003264858,0.518417462,0.349480969
105,Al2.8CoCrCuFeNi,BCC,650,0.444636703,0.59735624,0.544159544,0.085661991,0.327249603,0.083471868,0.395571635,0.65703884,0.405152412,0.691105576,0.427120863,0.616895325,0.166070179,0.443075647,0.786968431,0.208624006,0.47978409,0.171082695,0.27903855,0.0021518,0.507230559,0.333564014
106,CoFeMoNiTiVZr,,790,0.640295699,0.863858677,0.523809524,0.937804174,0.440734668,0.407380759,0.599041005,0.692748832,0.558049364,0.772084565,0.58801609,0.554937176,0.094150575,0.377724272,0.556667501,0.56436184,0.764369405,0.446363433,0.443948811,0.001855165,0.262482947,0.937024221
107,MoNbTaVW,BCC,536,0.198960066,0.520809939,0.361111111,0.133208204,0.859539944,0.894301291,0.863741582,0.786951645,0.857319101,0.769893561,0.912045097,0.42961708,0.013718216,0.225112768,0.278458844,0.056706214,0.205458105,0.894215737,0.41357069,0.015611332,0.696589359,0.16816609
108,Al2CoCrCuFeNi,FCC + BCC,560,0.422569459,0.661945804,0.603174603,0.10095575,0.36539766,0.116739198,0.438507095,0.598641246,0.447513812,0.627914085,0.468563849,0.548948299,0.143337418,0.449789599,0.811858894,0.242624458,0.463284818,0.182535547,0.26997514,0.00314555,0.556343793,0.297577855
109,AlCrFeNiMo0.8,BCC + Im,854,0.403069199,0.517107559,0.53125,0.484759236,0.412560119,0.30054083,0.648174453,0.668278932,0.658216221,0.657067539,0.626405814,0.582631492,0.098329984,0.522881926,0.710741389,0.229070313,0.438964972,0.305106826,0.62190244,0.003031567,0.515961801,0.421453287
110,CoCuFeMnNiSn0.03,FCC,192,0.24944623,0.548231568,0.856969295,0.142794005,0.516342685,0.170970916,0.65537478,0.243609154,0.63207666,0.282339764,0.484714032,0.521853915,0.144070656,0.544648124,0.943916188,0.204057777,0.250847227,0.177059581,0.380658832,0.023140396,0.874215553,0.083044983
111,Al0.7Co0.3CrFeNi,FCC + BCC + B2,624,0.370821665,0.449005927,0.611111111,0.162924605,0.400682248,0.222981888,0.553267045,0.473571194,0.577421821,0.453621162,0.566802067,0.401380242,0.098742175,0.453240139,0.818301226,0.327327569,0.401476375,0.224596144,0.197982199,0.002446237,0.509959072,0.224913495
112,CoCrFeMo0.5Ni,FCC + Im,210,0.180134722,0.491911778,0.722222222,0.471648968,0.520608286,0.364147239,0.755366162,0.34388127,0.762198502,0.285193342,0.736460742,0.1899414,0.032696155,0.073960722,0.826036194,0.400786469,0.265791301,0.319379306,0.436494175,0.010846935,0.707503411,0.234602076
